구분,2021개수,2021무게
"강화여차리", "133.0", "4.5", 
"안산말부흥", "64.0", "1.7", 
"태안백리포", "266.0", "24.0", 
"보령석대도", "30.0", "53.3", 
"부안변산", "35.0", "82.3", 
"신안임자도", "55.0", "26.4", 
"진도하조도", "43.0", "1.3", 
"해남묵동리", "117.0", "3.8", 
"고흥신흥", "49.0", "9.2", 
"여수반월", "87.0", "1.2", 
"사천아두도", "64.0", "5.4", 
"통영망일봉", "253.0", "7.1", 
"마산봉암", "293.0", "3.4", 
"부산해양대", "543.0", "9.3", 
"울산대왕암", "825.0", "7.5", 
"포항칠포", "409.0", "34.6", 
"울진후정", "137.0", "3.0", 
"강릉송정", "197.0", "1.1", 
"속초청초", "405.0", "5.3", 
"인천백령도", "20.0", "3.9", 
"인천영종도", "23.0", "2.9", 
"인천영흥도", "26.0", "0.6", 
"태안안면도", "309.0", "25.8", 
"서천다사항", "43.0", "21.8", 
"고창동호", "69.0", "21.9", 
"영광백바위", "105.0", "60.9", 
"신안고장", "292.0", "81.3", 
"해남예락", "110.0", "45.9", 
"해남송평", "96.0", "16.7", 
"제주김녕리", "362.0", "103.7", 
"완도신지도", "178.0", "23.2", 
"여수백야도", "126.0", "3.5", 
"고흥염포", "76.0", "2.9", 
"남해유구", "42.0", "1.9", 
"거제두모", "1115.0", "15.4", 
"울주나사리", "401.0", "15.4", 
"동해노봉", "273.0", "3.8", 
"영덕고래불", "121.0", "0.8", 
"포항구룡포", "1509.0", "14.3", 
"제주사계리", "3.0", "0.2", 
"고성송천", "486.0", "22.6", 
"군산선유도", "14.0", "0.2", 
"당진왜목항", "40.0", "0.8", 
"보령삽시도", "140.0", "7.1", 
"부산가덕도", "685.0", "8.6", 
"부산일광", "540.0", "6.1", 
"시흥오이도", "177.0", "4.1", 
"신안압해도", "74.0", "36.9", 
"신안우이도", "1611.0", "290.1", 
"신안흑산도", "4510.0", "577.3", 
"여수거문도", "1576.0", "47.5", 
"여수안도", "4431.0", "45.1", 
"완도보길도", "925.0", "51.5", 
"완도평일도", "149.0", "21.5", 
"울릉해양과학기술원", "598.0", "254.7", 
"울산주전", "463.0", "7.3", 
"제주위미", "1008.0", "9.1", 
"진도가사도", "510.0", "87.6", 
"통영욕지도", "32194.0", "355.7", 
"화성궁평", "51.0", "1.0", 